Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,favorites,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks
5.40992E+17,https://twitter.com/dumpmon/status/540992175564419072,http://t.co/bMQM5LF1D4 Emails: 81 Keywords: 0.11 #infoleak,2014-12-05 22:12 +0000,3484,22,0.006314581,0,0,0,0,22,0,0,0
5.40992E+17,https://twitter.com/dumpmon/status/540991591243337728,http://t.co/cp7v0q4vAt Possible cisco configuration #infoleak,2014-12-05 22:10 +0000,3489,8,0.002292921,0,0,0,0,8,0,0,0
5.40991E+17,https://twitter.com/dumpmon/status/540990996369383424,http://t.co/SLGayAbFTX Emails: 311 Keywords: 0.0 #infoleak,2014-12-05 22:07 +0000,3395,24,0.007069219,0,0,0,0,23,0,1,0
5.40985E+17,https://twitter.com/dumpmon/status/540985489923514368,http://t.co/eU9R30cdpT Found possible Google API key(s) #infoleak,2014-12-05 21:46 +0000,3431,5,0.001457301,0,0,0,0,5,0,0,0
5.4098E+17,https://twitter.com/dumpmon/status/540980302710325248,http://t.co/U4TfiUMCZU Emails: 42 Keywords: -0.14 #infoleak,2014-12-05 21:25 +0000,3419,15,0.004387248,0,0,0,0,15,0,0,0
5.40973E+17,https://twitter.com/dumpmon/status/540972602140147712,http://t.co/aAoiUqAWw0 Emails: 62 Keywords: 0.11 #infoleak,2014-12-05 20:54 +0000,3651,21,0.005751849,0,0,1,2,18,0,0,0
5.40963E+17,https://twitter.com/dumpmon/status/540962948148371457,http://t.co/JCuXvGmjv9 Emails: 100 Keywords: 0.0 #infoleak,2014-12-05 20:16 +0000,3722,19,0.005104782,0,0,0,0,18,0,1,0
5.40956E+17,https://twitter.com/dumpmon/status/540956252235657216,http://t.co/dajBuuwEwC Emails: 2975 Keywords: 0.33 #infoleak,2014-12-05 19:49 +0000,3872,30,0.007747934,0,0,1,0,28,0,1,0
5.4095E+17,https://twitter.com/dumpmon/status/540950202048585730,http://t.co/zJdYvv3KxX Emails: 62 Keywords: 0.77 #infoleak,2014-12-05 19:25 +0000,4042,22,0.00544285,0,0,0,0,20,0,2,0
5.40947E+17,https://twitter.com/dumpmon/status/540946886333833216,http://t.co/exa4DNmza5 Emails: 293 Keywords: 0.11 #infoleak,2014-12-05 19:12 +0000,4077,25,0.00613196,0,0,0,0,24,0,1,0
5.40939E+17,https://twitter.com/dumpmon/status/540939496624496640,http://t.co/qGOB16SvCs Emails: 53 Keywords: 0.0 #infoleak,2014-12-05 18:43 +0000,4317,20,0.004632847,0,0,0,0,19,0,1,0
5.40935E+17,https://twitter.com/dumpmon/status/540935395626999808,http://t.co/95uTBhUOYG Emails: 455 Keywords: 0.22 #infoleak,2014-12-05 18:27 +0000,4404,33,0.007493188,0,0,0,1,31,0,1,0
5.40932E+17,https://twitter.com/dumpmon/status/540931902119903232,http://t.co/zYA2jh0c8d Emails: 23 Keywords: 0.0 #infoleak,2014-12-05 18:13 +0000,3986,17,0.004264927,0,0,0,0,16,0,1,0
5.40931E+17,https://twitter.com/dumpmon/status/540930876155363328,http://t.co/Cf6yaY1r3M Emails: 167 Keywords: 0.11 #infoleak,2014-12-05 18:09 +0000,3914,19,0.004854369,0,0,0,0,19,0,0,0
5.40926E+17,https://twitter.com/dumpmon/status/540926473914564608,http://t.co/uliVkPXQJc Emails: 12 Hashes: 89 E/H: 0.13 Keywords: 0.11 #infoleak,2014-12-05 17:51 +0000,4092,11,0.002688172,0,0,0,2,8,0,1,0
5.40926E+17,https://twitter.com/dumpmon/status/540926191814070272,http://t.co/jm5VqNJWUB Emails: 13 Hashes: 81 E/H: 0.16 Keywords: 0.11 #infoleak,2014-12-05 17:50 +0000,3403,12,0.0035263,0,0,0,0,10,0,2,0
5.40922E+17,https://twitter.com/dumpmon/status/540921893348704256,http://t.co/iNlzj97Hof Emails: 27 Keywords: -0.14 #infoleak,2014-12-05 17:33 +0000,3457,13,0.003760486,0,1,0,0,10,0,2,0
5.40917E+17,https://twitter.com/dumpmon/status/540916892777840640,http://t.co/VdiDViaxs2 Emails: 71 Keywords: 0.0 #infoleak,2014-12-05 17:13 +0000,3268,22,0.006731946,0,0,0,0,19,0,3,0
5.40909E+17,https://twitter.com/dumpmon/status/540909239896911872,http://t.co/DasHiNihXr Hashes: 3029 Keywords: 0.11 #infoleak,2014-12-05 16:43 +0000,3507,24,0.006843456,0,1,0,0,18,0,5,0
5.40908E+17,https://twitter.com/dumpmon/status/540907868946702336,http://t.co/Kofn0xPDZm Emails: 104 Keywords: 0.33 #infoleak,2014-12-05 16:37 +0000,3532,14,0.00396376,0,0,0,1,12,0,1,0
5.40908E+17,https://twitter.com/dumpmon/status/540907830308798464,http://t.co/G1EnoAEelM Emails: 456 Keywords: 0.22 #infoleak,2014-12-05 16:37 +0000,3318,21,0.006329114,0,0,0,0,19,0,2,0
5.40904E+17,https://twitter.com/dumpmon/status/540903601875746818,http://t.co/9SYruI1W1e Hashes: 207 Keywords: 0.05 #infoleak,2014-12-05 16:20 +0000,3443,12,0.003485333,0,0,0,0,10,0,2,0
5.40902E+17,https://twitter.com/dumpmon/status/540901501628329984,http://t.co/3iIEH4pSzD Emails: 254 Keywords: 0.11 #infoleak,2014-12-05 16:12 +0000,3488,14,0.004013761,0,0,0,0,13,0,1,0
5.40898E+17,https://twitter.com/dumpmon/status/540897954429943808,http://t.co/jbkApWerqj Emails: 260 Hashes: 1 E/H: 260.0 Keywords: 0.44 #infoleak,2014-12-05 15:58 +0000,3426,18,0.00525394,0,0,0,0,17,0,1,0
5.40893E+17,https://twitter.com/dumpmon/status/540893046905503745,http://t.co/t9VAE3KxWM Emails: 48 Hashes: 1557 E/H: 0.03 Keywords: 0.33 #infoleak,2014-12-05 15:38 +0000,3431,14,0.004080443,0,0,0,0,12,0,2,0
5.40889E+17,https://twitter.com/dumpmon/status/540888748519862272,http://t.co/LyYIUgssbs Emails: 496 Keywords: 0.0 #infoleak,2014-12-05 15:21 +0000,3321,16,0.004817826,0,0,0,0,16,0,0,0
5.40885E+17,https://twitter.com/dumpmon/status/540884959779897344,http://t.co/ZPdy018bQE Emails: 1 Keywords: 0.55 #infoleak,2014-12-05 15:06 +0000,3121,8,0.002563281,0,0,0,0,7,0,1,0
5.40883E+17,https://twitter.com/dumpmon/status/540883298177003520,http://t.co/Gf5K74T2QQ Emails: 1 Keywords: 0.55 #infoleak,2014-12-05 15:00 +0000,2940,8,0.002721088,0,0,0,0,7,0,1,0
5.40875E+17,https://twitter.com/dumpmon/status/540875294350274561,http://t.co/M6eq7Kil2d Emails: 57 Keywords: 0.0 #infoleak,2014-12-05 14:28 +0000,3037,15,0.004939085,0,0,0,0,13,0,2,0
5.40874E+17,https://twitter.com/dumpmon/status/540874433896800257,http://t.co/692vKOmmtw Emails: 34 Keywords: 0.0 #infoleak,2014-12-05 14:24 +0000,2945,16,0.005432937,0,0,0,0,14,0,2,0
